ACCIDENT_NO,SEVERITY,LGA_NAME,LATITUDE,LONGITUDE
T20140013317,severe,kingston,-37.991832,145.082184
T20140013301,severe,hume,-37.667251,144.954793
T20140013755,severe,stonnington,-37.884168,145.088372
T20140014103,severe,cardinia,-37.930651,145.431947
T20140013359,severe,casey,-38.11217,145.265441
T20140013452,severe,brimbank,-37.71176,144.831262
T20140013342,severe,boroondara,-37.80672,145.02114
T20140013338,severe,monash,-37.914341,145.084354
T20140013401,severe,whitehorse,-37.82874,145.121826
T20140013397,severe,brimbank,-37.753631,144.807008
T20140013395,severe,melbourne,-37.787829,144.940507
T20140013394,severe,monash,-37.885826,145.113413
T20140013385,severe,darebin,-37.724701,145.023257
T20140013378,severe,darebin,-37.752832,145.006391
T20140013377,severe,moreland,-37.717571,144.94661
T20140013376,severe,melbourne,-37.810574,144.964281
T20140013375,severe,hume,-37.678576,144.960852
T20140013409,severe,stonnington,-37.881671,145.068026
T20140013430,severe,stonnington,-37.847584,144.999395
T20140013438,severe,yarra,-37.828946,144.999892
T20140013442,severe,kingston,-37.965665,145.057795
T20140013456,severe,knox,-37.88238,145.277819
T20140013468,severe,cardinia,-38.211659,145.468418
T20140013474,severe,moreland,-37.737758,144.966949
T20140013489,severe,cardinia,-37.927392,145.446732
T20140019992,severe,kingston,-38.007264,145.103682
T20140013539,severe,yarra,-37.827237,145.01718
T20140013544,severe,darebin,-37.73889,144.98994
T20140013506,severe,hume,-37.666381,144.946098
T20140013569,severe,knox,-37.843459,145.248552
T20140013515,severe,yarra,-37.794969,144.98132
T20140014497,severe,melbourne,-37.79226,144.96839
T20140018807,severe,boroondara,-37.825581,145.09418
T20140015112,severe,whitehorse,-37.854031,145.162983
T20140013501,severe,knox,-37.848423,145.269382
T20140013503,severe,moonee valley,-37.753074,144.904288
T20140013508,severe,knox,-37.858544,145.267491
T20140013509,severe,maribyrnong,-37.799501,144.89728
T20140013511,severe,yarra,-37.825746,144.998471
T20140013516,severe,knox,-37.912532,145.235969
T20140013532,severe,casey,-38.006255,145.273345
T20140013534,severe,boroondara,-37.835304,145.055954
T20140013536,severe,manningham,-37.787561,145.123753
T20140013547,severe,whitehorse,-37.811353,145.116033
T20140013993,severe,monash,-37.890207,145.117072
T20140013632,severe,moreland,-37.737375,144.963044
T20140013881,severe,yarra,-37.819041,145.003789
T20140013565,severe,kingston,-37.957161,145.04941
T20140013566,severe,kingston,-37.982594,145.074113
T20150005569,severe,brimbank,-37.782994,144.772882
T20140014618,severe,casey,-38.110338,145.253218
